treatment,tech_company,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,mental_vs_physical,obs_consequence,mental_health_consequence
No,Yes,Yes,Yes,Yes,Somewhat difficult,No,Some of them,Yes,No,No,No,No
Yes,No,No,Don't know,Don't know,Very difficult,No,Some of them,Yes,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat difficult,No,Yes,Yes,No,Don't know,Yes,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Yes,Yes,Maybe,Don't know,No,No
No,Yes,Yes,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,No,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,No,Don't know,No,No
No,Yes,Don't know,Don't know,Don't know,Don't know,Yes,Some of them,No,No,No,No,Yes
Yes,Yes,Yes,Don't know,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Very easy,No,Yes,No,No,Yes,No,No
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Some of them,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat easy,No,No,No,No,Don't know,No,Maybe
No,Yes,No,Don't know,Yes,Don't know,No,No,Some of them,No,Don't know,No,Maybe
No,No,No,No,Yes,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Maybe,Yes,No,No
No,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,Don't know,No,Yes,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,No,Maybe
Yes,No,No,No,No,Don't know,Maybe,Some of them,No,No,No,No,Yes
Yes,No,No,No,No,Don't know,Maybe,Some of them,No,No,No,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Somewhat difficult,No,Yes,Yes,Maybe,Yes,No,No
No,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Maybe,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Very difficult,No,Some of them,Yes,No,No,No,Yes
Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Yes,No,Yes
No,Yes,No,No,No,Somewhat difficult,Maybe,No,No,No,No,Yes,Yes
Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,Maybe,No,No,Maybe
No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Some of them,Maybe,No,No,No
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,Yes,Yes,Yes,Yes,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,No,Don't know,Yes,Maybe
No,No,Yes,Yes,Yes,Don't know,Maybe,Some of them,Some of them,No,No,Yes,Maybe
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,No,No,No,Yes,Very easy,No,No,No,No,No,No,Maybe
Yes,Yes,No,Don't know,Don't know,Very difficult,No,No,No,No,Don't know,No,Yes
No,Yes,Yes,No,Yes,Somewhat easy,No,Some of them,Some of them,No,No,No,Maybe
No,No,No,Don't know,Don't know,Don't know,No,No,Some of them,No,Don't know,No,Maybe
No,No,No,Yes,Don't know,Somewhat easy,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Yes,Very easy,No,No,No,No,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No,Maybe
No,Yes,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Yes,Yes,Maybe
No,Yes,No,Don't know,Don't know,Somewhat difficult,No,Some of them,Yes,Yes,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,No,Maybe
No,No,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,No,Yes,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,No,No,No
No,Yes,No,No,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Maybe,Don't know,Yes,Maybe
No,No,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Very difficult,No,Some of them,No,No,Don't know,No,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,Yes,Don't know,Yes,Don't know,Very difficult,Yes,Some of them,No,Maybe,No,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,No,No,Don't know,Don't know,Somewhat difficult,No,Some of them,Yes,No,Don't know,No,No
No,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,No,No,No
Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Yes
Yes,Yes,No,No,Don't know,Very difficult,Yes,Some of them,No,No,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,No,Yes,Yes,Maybe
No,Yes,No,No,Yes,Very easy,No,No,No,No,Yes,No,No
No,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,Maybe,Don't know,No,No
Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,No,No,No,Yes,Yes
No,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,Yes,No,Don't know,Don't know,Yes,No,No,No,No,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Yes,Yes,No,Yes,Yes,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,No,No,No,Yes,Yes
Yes,Yes,No,Yes,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Very easy,No,Yes,Yes,No,Don't know,No,No
Yes,Yes,No,Yes,Don't know,Somewhat easy,No,Yes,Yes,No,Don't know,No,No
Yes,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,No,No,No,No,Yes
No,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,Some of them,Maybe,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,No,Yes,No,No
No,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,Yes,No,No,No,Don't know,No,Yes
No,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
Yes,No,No,Yes,Yes,Somewhat difficult,No,Some of them,Some of them,No,No,No,Maybe
Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,Yes,No,Maybe
Yes,No,Don't know,No,Yes,Somewhat difficult,Maybe,Some of them,Some of them,No,No,Yes,Yes
No,Yes,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Yes,Yes,No,No
No,Yes,Yes,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
No,No,No,Don't know,Don't know,Don't know,No,No,Some of them,No,No,No,Maybe
No,Yes,Yes,Yes,Don't know,Somewhat easy,No,Some of them,Some of them,Maybe,Yes,No,No
No,Yes,No,No,Yes,Don't know,No,Yes,Yes,Maybe,Don't know,No,No
No,Yes,Don't know,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Don't know,No,No
Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,No,Yes,No,Maybe
No,Yes,No,Yes,Don't know,Very easy,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,No,Don't know,Very difficult,Yes,No,Some of them,No,No,No,Yes
Yes,Yes,No,Yes,Yes,Very difficult,No,Some of them,Some of them,Yes,No,Yes,Maybe
Yes,No,No,No,Yes,Very difficult,No,No,No,No,No,No,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,No,No,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
Yes,Yes,Yes,Yes,Yes,Very difficult,No,Some of them,Some of them,No,Don't know,Yes,Yes
Yes,Yes,No,Don't know,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,Maybe
No,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,No,No,Maybe
Yes,Yes,No,No,Yes,Don't know,No,Some of them,No,No,No,No,Yes
No,No,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No,No
Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Don't know,Yes,Don't know,Very difficult,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Yes,Very easy,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,No,No,No,No,Somewhat easy,Maybe,Some of them,Yes,No,No,Yes,Yes
Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,No,No,Yes,Yes
No,Yes,No,No,Yes,Don't know,No,Some of them,Yes,Maybe,Don't know,No,Maybe
Yes,Yes,Yes,No,Yes,Somewhat easy,No,Some of them,Yes,Yes,Yes,No,No
No,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Yes
Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Some of them,No,Yes,No,No
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,No,No
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No,No
No,Yes,No,No,Don't know,Very easy,No,No,Yes,No,No,No,No
No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,Yes,Yes,No,No
Yes,No,No,No,Don't know,Somewhat difficult,Maybe,Yes,No,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,No,Yes,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Yes,Yes
Yes,Yes,No,No,No,Very difficult,Maybe,Some of them,Some of them,No,No,Yes,Yes
Yes,Yes,No,No,Don't know,Very easy,No,Some of them,Yes,No,Yes,No,Maybe
No,Yes,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,No,Don't know,No,No
No,No,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Don't know,No,No
No,Yes,No,No,Don't know,Very difficult,Maybe,No,No,No,No,Yes,Yes
Yes,Yes,No,No,No,Very difficult,Yes,No,No,No,Yes,Yes,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,No
No,Yes,Yes,Yes,Yes,Don't know,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,Maybe,Don't know,No,No
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Maybe,Don't know,No,No
No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,No,Yes,Maybe
No,No,Don't know,No,Yes,Somewhat easy,Maybe,No,Some of them,No,Don't know,Yes,Maybe
No,Yes,No,No,No,Somewhat easy,No,No,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Yes,Yes,No,No,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No,No,Maybe
Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,Some of them,Maybe,Don't know,Yes,Yes
Yes,No,No,Yes,No,Somewhat easy,Yes,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Yes,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,No,No,Don't know,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,Yes,Yes
No,Yes,No,No,No,Somewhat difficult,No,No,No,No,Yes,No,Yes
No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,No,Don't know,No,No
No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
No,Yes,No,Yes,Don't know,Very easy,No,Yes,Yes,No,Yes,No,No
Yes,Yes,Yes,Don't know,Yes,Very easy,No,Some of them,No,No,Yes,No,No
No,Yes,No,No,Yes,Very easy,Maybe,No,No,No,Yes,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,No,No,No,Yes,No,Yes
No,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,No,No,Yes,Very easy,No,Some of them,Yes,No,Don't know,No,Maybe
No,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,No
Yes,Yes,No,Don't know,Yes,Somewhat easy,No,Yes,Yes,Maybe,Don't know,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Don't know,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,No,Maybe,Don't know,Yes,Maybe
Yes,Yes,No,No,Yes,Very easy,Yes,Some of them,Some of them,No,Yes,Yes,Yes
No,Yes,No,Don't know,Don't know,Very easy,No,Yes,Yes,No,Yes,No,Maybe
Yes,No,No,Yes,Yes,Very easy,No,Yes,Yes,Yes,Don't know,No,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No,No
No,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
No,No,Yes,Yes,Yes,Don't know,No,No,Yes,No,Don't know,No,Maybe
No,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Some of them,No,Yes,No,Maybe
No,No,No,Don't know,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,No,No,Yes,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,Yes,Yes,Yes,Yes,Don't know,Maybe,Some of them,Some of them,No,Yes,No,Yes
No,Yes,No,No,Yes,Very easy,No,Some of them,Yes,Maybe,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,Yes,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,Yes,Yes
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,No,No
Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,No,Yes,Maybe
No,Yes,Yes,Yes,Don't know,Somewhat easy,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,No,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No,No
No,Yes,Yes,No,Don't know,Don't know,Yes,No,No,No,Don't know,No,Yes
No,No,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,Don't know,Don't know,Yes,Don't know,No,Yes,Yes,Maybe,Yes,No,No
No,No,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,No,Yes
Yes,Yes,No,No,No,Very difficult,No,No,No,No,No,Yes,Yes
No,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,Yes,Yes
No,Yes,No,No,Don't know,Don't know,No,No,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Don't know,No,Yes,Yes,No,Yes,No,No
No,No,Don't know,Don't know,Yes,Don't know,No,Some of them,No,No,No,No,Yes
No,Yes,No,No,Don't know,Very easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,No,Yes
No,Yes,Don't know,Yes,Yes,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,Yes,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
Yes,Yes,No,No,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,No,No,No,Don't know,Don't know,No,Some of them,No,No,No,Yes,Maybe
Yes,Yes,No,No,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,Yes,No
Yes,No,Yes,Yes,Yes,Very difficult,No,Some of them,Some of them,No,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,Yes,Yes,No,Yes,Yes,No
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,Yes,No
No,No,No,No,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,Yes
Yes,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,No,No,No,No
No,Yes,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,Don't know,No,No
No,No,No,Don't know,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
Yes,Yes,No,Don't know,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No,Maybe
No,Yes,No,No,No,Very easy,No,Some of them,Yes,No,Yes,No,Maybe
Yes,Yes,Don't know,Yes,Yes,Very easy,No,Some of them,Some of them,No,Don't know,No,No
Yes,No,No,No,Don't know,Somewhat easy,No,Some of them,Yes,Maybe,Don't know,No,No
Yes,Yes,No,No,Yes,Very difficult,No,Some of them,No,No,No,No,Maybe
No,Yes,No,No,Yes,Somewhat difficult,No,No,No,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,Don't know,No,Maybe
Yes,No,No,No,Yes,Don't know,No,Some of them,Yes,No,No,Yes,No
No,Yes,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,Don't know,No,Maybe
No,No,No,Don't know,Don't know,Somewhat difficult,No,No,Yes,No,Don't know,No,Maybe
No,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,No,No,No,No,Yes
Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,No,Maybe
No,Yes,No,Yes,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,No,No,Yes,Yes,Maybe
No,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,No,No,No,No,Maybe
Yes,Yes,Yes,Yes,Yes,Don't know,Yes,No,No,No,No,Yes,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Very difficult,No,Yes,Some of them,No,No,Yes,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,No,No,Yes,Very difficult,No,Some of them,Yes,No,No,No,Maybe
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,No,No,No,Maybe
Yes,Yes,Don't know,Yes,Don't know,Very difficult,Maybe,Yes,Yes,Maybe,Yes,No,No
Yes,No,No,No,Don't know,Somewhat difficult,No,No,No,No,No,No,Yes
Yes,No,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,Yes,No,No
Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,No,No,Maybe
No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Yes,Yes,No,Yes,No,No
No,No,Yes,Yes,Don't know,Don't know,Maybe,Some of them,No,No,No,No,Yes
Yes,Yes,Yes,Don't know,Yes,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No,Maybe
No,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,No,Yes,No,No
No,No,No,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,No,Maybe
Yes,Yes,No,No,Don't know,Very difficult,No,Yes,Yes,No,No,No,Yes
Yes,Yes,Yes,Don't know,Yes,Don't know,No,No,No,No,Yes,No,Yes
Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,No,Yes,No,No
Yes,No,No,No,No,Very difficult,No,No,No,No,No,Yes,No
Yes,Yes,No,No,Don't know,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Don't know,Don't know,Somewhat difficult,No,Some of them,Some of them,No,Don't know,Yes,Maybe
No,No,Yes,Don't know,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Don't know,No,Yes,Some of them,No,Yes,No,No
No,Yes,No,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Yes,Yes
No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Some of them,No,Yes,No,No
No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Somewhat easy,No,No,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
No,Yes,No,No,No,Very easy,Maybe,Some of them,Some of them,Maybe,Don't know,No,Maybe
Yes,Yes,No,Don't know,Yes,Very easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Yes,Some of them,No,No,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,No,Maybe,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Maybe,Don't know,No,No
No,No,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Yes,Don't know,No,No,No,No,Don't know,Yes,Maybe
Yes,Yes,No,Don't know,Don't know,Very easy,No,Yes,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,Don't know,No,Yes
Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,Yes,No,No,No,Don't know,No,Yes
Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,No,Yes,No
Yes,No,No,Yes,Don't know,Don't know,No,Some of them,Some of them,No,No,No,Maybe
Yes,Yes,No,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,No,No,Maybe
Yes,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,No
No,Yes,Don't know,Don't know,Yes,Don't know,No,No,No,No,Yes,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,No,Yes,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Maybe,Don't know,No,No
No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,Maybe
No,No,No,No,Yes,Somewhat easy,No,No,No,No,No,No,Maybe
Yes,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,No,Yes
No,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,Yes,Maybe
Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,Yes,No,Somewhat difficult,No,No,No,No,No,Yes,Yes
No,Yes,No,Yes,No,Somewhat difficult,No,No,No,No,No,Yes,Yes
Yes,No,No,No,Yes,Somewhat easy,No,Yes,Yes,Maybe,No,No,Maybe
Yes,Yes,No,No,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,Maybe,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,No,No,No,No,Don't know,No,Maybe
Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Very difficult,No,Yes,Yes,Yes,Don't know,No,No
No,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,Yes,Maybe
No,No,No,No,Don't know,Somewhat easy,Maybe,No,No,No,Don't know,Yes,Yes
No,No,No,No,Yes,Don't know,No,No,No,No,Yes,No,Maybe
No,No,Yes,Yes,Yes,Somewhat difficult,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Very easy,No,Some of them,Yes,Maybe,Don't know,No,No
